id,questions,length
1,三大运营商如何让利给消费者,13
2,晋城凤兰学校为何高中招生资格被停,16
3,上交所披露了哪些科创板受理企业,15
4,近年来全国铁路实施新的列车运行图效果如何,20
5,特斯拉如何调整电动汽车售价,13
6,长安汽车跟哪些企业共同投资设立了南京领行股权投资合伙企业,28
7,网约车公司Uber会选择哪里进行IPO,19
8,美国多地为何对亚马逊Go商店禁令,16
9,互联网券商老虎证券登陆纳斯达克反应如何,19
10,小米和华为对俄罗斯市场有何打算,15
11,3.21爆炸事故是什么原因引起的,16
12,近年我国的结婚和离婚登记情况如何,16
13,南京大屠杀幸存者还剩多少,12
14,近年辽宁出生率如何,9
15,近年东北人口增长率如何,11
16,近年全国独生子女护理假落实情况如何,17
17,近年中国人口流入量靠前的是哪些省,16
18,近年中国人口流出量靠前的是哪些省,16
19,通俄门检察官穆勒向美司法部提交报告后有何建议,22
20,法拉第未来和第九城市成立合资公司如何占股,20
21,软件公司Zoom提交IPO招股书计划上市。哪些投行被列为承销商,31
22,被特朗普点名后通用汽车公司首席执行官玛丽.巴拉是如何做的,28
23,近年全球观众在线观看娱乐节目与电影院消费有何变化,24
24,B站与索尼旗下Funimation如何达成战略合作,25
25,近来恒大健康收益如何,10
26,美国开发出的智能马桶座监测系统有何功效,19
27,李开复如何看待人工智能,11
28,填报剑桥大学对中国高考成绩有何要求,17
29,如何看待揽胜极光的5大特征遭抄袭,16
30,英国百万民众在伦敦举行游行有何目的,17
31,网约车司机遇害对此有何看法,13
32,近年中国油汽产业发展前景如何,14
33,地方债柜台发售试点有哪些省市,14
34,近来美的集团有何人事变动,12
35,近来西门子有何大动作,10
36,近年中国石化营收如何,10
37,近年三大运营商对5G有何打算,14
38,英国科学家对人类大脑有何发现,14
39,近年国家医保局有关医保有何变动,15
40,近年对于印度加收关税中国设备厂商如何应对,20
41,通俄门翻身后特郎普有何反应,13
42,近年埃及总统赛西如何看待一带一路倡议,18
43,近年国内成品油价格有何变动,13
44,近年全聚德收益如何,9
45,近年猫眼娱乐收益如何,10
46,近年猎豹移动收益如何,10
47,近年北京链家房地产有何变动,13
48,近年百望股份有限公司获得融资是由哪些公司投资的,23
49,上海交大博士生导师倪某为何被停止教学工作,20
50,滴滴总裁对被害司机家属有何表示,15
51,个人用户在使用支付宝信用卡还款功能时如何收费,22
52,近年华为在法国巴黎发布会上带来了哪些产品,20
53,近年一汽-大众在减税降费政策上做了哪些调整,21
54,对于副部长鲁炜受贿一案法院如何判罚,17
55,近年我国重型运载火箭发动机在关键技术上获重大突破对日后有何影响,31
56,近年四川岳池27位局长公布个人手机号对此有何影响,24
57,近年国务院总理李克强在国务院常务会议上有何指示,23
58,近年国家移民管理局对出入境证件有哪些新政,20
59,近年三星电子业绩如何,10
60,近年芬兰召开6G无钱峰会主要内容有哪些,19
61,近年京东收益如何,8
62,近年麦当劳为提升服务智能化水平做了哪些改进,21
63,近年亚马逊是如何解决系统偏见最小化和人工智能方面的问题,27
64,近年共享办公空间的提供商WeWork发展如何,22
65,近年湖畔大学录取了哪些企业家,14
66,近年苏格兰会议关于撤销脱欧动议结果如何,19
67,近年法国和中方签订的太空合作协议内容有哪些,21
68,近年中共是央办公厅对公务员有哪些方面做出了规定,23
69,近年酷我音乐股权有何变动,12
70,巧达科技员工为何被警方带走,13
71,近年水滴公司融资主要由哪些公司投资,17
72,近年华为在美国如何处理公关事务,15
73,近年阿里巴巴招收哪些职位,12
74,软件制造商甲骨文为何裁员,12
75,近年梅赛德斯-奔驰与吉利有何协议,16
76,近年苏宁智能终端公司对外发布了哪些智能新品,21
77,土耳其去油轮救起108名偷渡者结果如何,19
78,近年趣头条发布了哪些公告,12
79,如何看待美团王兴重提支付宝剥离,15
80,欧洲议会表决通过大范围禁用一次性塑料产品有何意义,24
81,近年人口增加最快的城市有哪些,14
82,近年贵州茅台营收如何,10
83,火花思维获得C轮融资主要是由哪些公司投资,20
84,近年上交所受理的科创版上市申请包括哪些公司,21
85,近年中兴通讯收益如何 ,11
86,360家庭安全大脑有何优点,13
87,近年国有四大行收益如何,11
88,柔道冠军马端斌个人实名举报贪腐有何进展,19
89,近年华为营收如何,8
90,近年降低部分行业增值税率对于成品油有何影响,21
91,玉兔二号状态如何,8
92,近年陕西官场有何异动,10
93,韩国世越号调查有何新发现,12
94,顶风违建福州沿海密林深处有何发现,16
95,近年清华大学为推动天文学科发展有何决定,19
96,阿里巴巴成立阿里巴巴经济体技术公益委员会有何意义,24
97,盛趣游戏的趣字有何含义,11
98,美国引力波探测器重启有何意义,14
99,近年新疆副部级领导干部同时履新的有哪些,19
100,近年人民币资产占比如何,11
101,近年通高校新增专业热门的有哪些,15
102,近年江小白发展如何,9
103,金宜谦为何引咎辞职,9
104,Lyft上市首日反应如何,12
105,福州豪华活人墓有何进展,11
106,苹果为何对外宣布取消无线充电产品AirPower,24
107,近年苏宁易购营收如何,10
108,近年国家网信发布区块链信息服务包含哪些,19
109,近年淘宝有何发展计划,10
110,为更好研发无人驾驶汽车戴姆勒有何决策,18
111,特斯拉汽车上电脑上保存的信息有哪些,17
112,近年增值税做了哪些调整,11
113,近年中国对美国推迟提高税率有何回应,17
114,复联4定档何时,7
115,近年万达广场对车主停车出场时间有何改进,19
116,近年苹果关于重启电动汽车的开发有何进展,19
117,Roadstar公司为何会濒临倒闭,17
118,近年上海消保委对哪些手机App进行涉及个人信息权限的评测,28
119,河南一幼儿园老师为何投毒,12
120,运载火箭为何发射失利,10
121,近年阿里巴巴纳税情况如何,12
122,近年全球智能家居市场发展如何,14
123,安徽宿州一教师为何用笤帚木殴打学生,17
124,近年华为公司在深圳5G试点进展如何,17
125,近年Facebook创始人对政府态度有何改变,22
126,近年教育部对开展校外培训督查治理有何进展,20
127,近年苹果在印度市场发展如何,13
128,近年北大、清华等高校招生有何不同,16
129,近年苹果如何处理降价争议,12
130,柔道冠军举报村支书进展如何,13
131,近年饿了么与天猫有何合作,12
132,近年京东入职员工学历有变化,13
133,湖南大学研究生抄袭论文事件进展如何,17
134,美国高校招生舞弊案进展如何,13
135,东莞团贷网案进展如何,10
136,Altaba公司发展如何,12
137,近年中国知识产权发展如何,12
138,近年我国计算机软件著作权发展如何,16
139,近年杭州落户政策有何变化,12
140,近年微软对初创企业有何优惠政策,15
141,近年我国科学家在植物防控病虫侵害方面有何进展,22
142,微软为何停止Win10强制更新,15
143,女性平均寿命为何比男性长,12
144,近年中国零售业发展如何,11
145,近年核电工业发展如何,10
146,日媒如何评价美国和韩国的5G试运营,17
147,芬兰发明的黑科技垃圾桶性能如何,15
148,近年中国的人工林发展如何,12
149,近年中国对于城市落户有何新政策,15
150,近年虚拟货币挖矿为何被列为淘汰类产业,18
151,近年美国与伊朗关系如何,11
152,近年京东对快递员薪酬结构有何改变,16
153,美国空客补贴案进展如何,11
154,英国政府为何计划成立新监管机构,15
155,长三角一体化进展如何,10
156,雅虎就数据泄漏事件有何进展,13
157,视觉中国为何引起众怒一天上四次热搜,17
158,近年公积金关于二套房有何新政策,15
159,近年教育部对中小学生竞赛有何要求,16
160,西安新奔驰车没开出4S店就漏油事件进展如何,21
161,近年快递业务发展如何,10
162,近年全球房价最高的十座城市中国占比如何,19
163,近年中国移动5G发展如何,12
164,近年台积电营收如何,9
165,近年中国股市发展如何,10
166,长三角G60科创走廊纳入国家发展战略主要覆盖了哪些城市,27
167,近年新一代刷脸支付产品发展如何,15
168,近年IBM在新加坡发展如何,13
169,苹果高通专利诉讼案进展如何,13
170,近年美图手机发展如何,10
171,近年菜鸟网络发展如何,10
172,近年360回归A股后发展如何,14
173,巴黎圣母院火灾后各界有何反应,14
174,国家移民局微信小程序上线有何优点,16
175,广东立法明确中小学教师有何管教权,16
176,近年自动驾驶行业有何怪状,12
177,苹果和高通之间关于专利许可和侵权诉讼进展如何,22
178,多人投诉奥迪车内异味致癌进展如何,16
179,推进长三角一体化异地医保门诊结算有何变化,20
180,近年科大讯飞营收如何,10
181,近年西藏考古专家有何大发现,13
182,近年申通快递发展如何,10
183,近年顺丰控股发展如何,10
184,二代个人征信报告包括哪些内容,14
185,近年海归国内就业如何,10
186,近年中老年社区糖豆进发展如何,14
187,近年余额宝发展如何,9
188,刘强东事件进展如何,9
189,近年京东快递业务发展如何,12
190,韩国5G网络推出后市场反馈如何,15
191,针对后端源代码泄露一事B站有何回应,17
192,近年高考模式有何变化,10
193,近年工资水平高的是哪些行业,13
194,近年中国选手谢文骏在男子110米栏有何突破,21
195,近年抗癌药价格有何变动,11
196,近年华裔科学家有何新成果,12
197,近年洋葱数学发展如何,10
198,近年EMUI发展如何,10
199,近年中国和印度实行垃圾进口禁令对澳有何影响,21
200,近年深圳推出禁烟进展如何,12
201,近年美国哈勃太空望远镜有何新观测成果,18
202,近年人脸检测评测结果如何,12
203,近年为何父姓加母姓起名现象兴起,15
204,近年国际机器翻译大赛结果如何,14
205,近年宝钢股份发展如何,10
206,近年智能摄像头APP远程看家看店需求如何,20
207,海南假宫颈癌疫苗进展如何,12
208,南昌京山小学教师打学生有何进展,15
209,近年我国青少年总体近视率如何,14
210,近年华为有何新招聘方式,11
211,近年深圳住房有何改革,10
212,近年菲律宾与加拿大有关垃圾方面有何进展,19
213,近年巨人网络有何人事变动,12
214,近年滴滴如何解决司机师傅工作中遇到的问题,20
215,手机使用习惯与抑郁有何关系,13
216,近年百度公司有何人事调整,12
217,近年市监局有何新规,9
218,近年中国手机品牌在印度市场销量如何,17
219,近年我国青少年近视率如何,12
220,近年猪价如何,6
221,近年我国空气质量如何,10
222,近年中国手机出货量如何,11
223,近年银行业保险业为何对外开放新措施,17
224,近年五一假期出游有何情况,12
225,美国名校舞弊案进展如何,11
226,智能门锁安全性如何,9
227,5G通信的无线电频率有何危害,14
228,近年上海光源发展如何,10
229,近年中国关于美方升级关税有何措施,16
230,近年坐火车办临时身份证有何新政策,16
231,近年江淮汽车为何面临重罚,12
232,近年中国经济的底气如何,11
233,近年人民币贷款发展如何 ,12
234,童模被母亲踢踹事件进展如何,13
235,海口女乘客掌掴公交司机一案进展如何,17
236,近年在香港哪些企业获批虚拟银行牌照,17
237,近年京东股权有何变动,10
238,江苏省公安厅发出的通缉令中在逃人员朱晟卿为何引发关注,26
239,袁隆平超优千号三亚测产如何,13
240,钉钉为何停更整改一个月,11
241,可穿戴式手环对心室房颤的监测准确率如何,19
242,近年在世界各国科学论文引用次数排名中中国排名如何,24
243,近年中国短跑天团在世界接力赛成绩如何,18
244,近年小霸王游戏机发展如何,12
245,东京奥运会有没有出现兴奋剂丑闻,15
246,近年来，中国的煤矿开采工作有没有出现安全事故,22
247,最近阿富汗政治局势如何,11
248,近年住建部有没有领导干部出现经济丑闻,18
249,近年暑假，新疆有没有出现新冠阳性病例,18
250,最近香港民阵组织将会何去何从,14
251,最近扬州新冠疫情形势怎样,12
252,南京中小学校暑假过后返校原则是否落地,18
253,针对张文宏博士的学术腐败调查情况如何,18
254,近年暑假是否有学校违规举办奢华毕业聚餐,19
255,蔚来汽车自动驾驶功能安全吗,13
256,近期深圳房价涨跌情况如何,12
257,东京奥运会有运动员感染新冠病毒吗,16
258,NASA动态地图最近有么有什么新发现,18
259,最近有没有明星艺人因相关丑闻而被品牌方解约,21
260,近年有没有关于槟榔的出入境条例出台,17
261,近年暑假期间，除江苏省内，是否还有其他省市因新冠疫情导致经济受损,32
262,海地政府受灾情况如何,10
263,近年有没有关于方便面食品安全问题被曝光,19
264,华尔街大鳄是否看好中国科技公司的股票,18
265,近期美国有没有发生地震,11
266,近期“阿里女员工被侵害”案进展如何,17
267,支付宝服务器稳定吗,9
268,青海省柴达尔煤矿发生透水事故有何新进展,19
269,近年俄罗斯和德国间政治局势如何,15
270,南京、扬州、东部机场因新冠疫情是否有相关人员被问责,25
271,近年有没有培训机构破产,11
272,近年教育系统内有没有出现性丑闻,15
273,NASA的月球计划有没有新进展,15
274,12-17岁青少年接种新冠疫苗情况推进的怎样了,23
275,截止8月12日，我国新冠疫苗接种的多少人次了,22
276,我国关于风洞实验的进展如何,13
277,2020年，美国人口普查的结果如何,17
278,浙江有没有出台有关网约车司机的运营资格的相关规定,24
279,我国有没有出台与三胎相关政策,14
280,张家界疫情情况进展如何,11
281,最近发布的新版防护指南中有没有针对棋牌室的相关规定,25
282,近年李宁有限公司的中期业绩报告如何,17
283,近年湖北宜城受强降雨影响怎样,14
284,近年柳林镇受强降雨影响怎样,13
285,近年阿迪达斯业绩怎样,10
286,扬州大规模核算检测进展如何,13
287,近年来，有没有出现体彩无人认领的情况,18
288,蔚来汽车发布的2021年二季度财报怎样,19
289,第十四届全运会能否照常开展,13
290,长三角区域轨道交通客运服务有没有统一标准,20
291,乐视公司现在状况如何,10
292,近年夏天欧洲天气如何,10
293,近年国际上关于新冠病毒研究有没有新进展,19
294,关于加强智能网联汽车生产企业及产品准入管理的意见何时发布,28
295,广州有没有新冠疫情,9
296,南京此轮疫情中有没有使用中药汤剂,16
297,辉瑞疫苗和莫德纳疫苗安全吗,13
298,奥运会后有没有关于女排运动员的新闻,17
299,亚朵酒店在阿里女员工被侵害案中扮演了什么角色,22
300,歌舞娱乐场所播放卡拉OK音乐有没有限制,19
301,为何要颁布2021年国旗及国徽（修订）条例草案,23
302,特斯拉7月份在华销量如何,12
303,德国疫苗接种安全吗,9
304,近年西湖大学招生情况如何,12
305,上海电动自行车能上中环吗,12
306,近期美国新冠疫情怎样,10
307,扬州疫情管控有没有漏洞,11
308,扬州第五轮核算检测结果怎么样,14
309,近年国产机械销量如何,10
310,近年有没有间谍在我国国内行动,14
311,香港政府打算如何培养香港青年的价值观,18
312,双减工作将如何推进,9
313,梅西转会的最新消息,9
314,弹劾美国纽约州州长安德鲁·科莫的进展怎样,20
315,美国跨党派基础设施投资法案进展如何,17
316,近来日本核废物排放情况如何,13
317,扬州是否要进行第六轮核算检测,14
318,香港教育专业人员协会是否会解散,15
319,近年暑假，淮安防疫措施如何,13
320,河北17岁男孩海边救人最新进展,15
321,NASA首批火星栖息地模拟生活体验最近进展,21
322,郑州近年报废机动车数量,11
323,加拿大籍被告人走私毒品案最新进展,16
324,第三剂科兴新冠疫苗安全吗,12
325,国产疫苗可以混打吗,9
326,法国选手奥运马拉松连续打翻水瓶事件后续发展,21
327,南京第六轮核算检测结果,11
328,南京江宁区是否要开展第7轮核算检测,17
329,孟晚舟引渡案最新进展,10
330,恒大汽车近年盈利预警公告,12
